Time (s), Voltage (V), Current (A), SOC (%)
414, 3.34, 0.20, 2.82, 
415, 3.34, 0.20, 2.82, 
416, 3.34, 0.20, 2.83, 
417, 3.34, 0.20, 2.84, 
418, 3.34, 0.20, 2.85, 
419, 3.34, 0.20, 2.85, 
420, 3.34, 0.20, 2.86, 
421, 3.34, 0.20, 2.87, 
422, 3.35, 0.20, 2.87, 
423, 3.35, 0.20, 2.88, 
424, 3.35, 0.20, 2.89, 
425, 3.34, 0.20, 2.89, 
426, 3.35, 0.20, 2.90, 
427, 3.34, 0.20, 2.91, 
428, 3.35, 0.20, 2.91, 
429, 3.35, 0.20, 2.92, 
430, 3.35, 0.20, 2.93, 
431, 3.35, 0.20, 2.93, 
432, 3.35, 0.20, 2.94, 
433, 3.35, 0.20, 2.95, 
434, 3.35, 0.20, 2.95, 
435, 3.35, 0.20, 2.96, 
436, 3.35, 0.20, 2.97, 
437, 3.35, 0.20, 2.97, 
438, 3.35, 0.20, 2.98, 
439, 3.36, 0.20, 2.99, 
440, 3.36, 0.20, 2.99, 
441, 3.35, 0.20, 3.00, 
442, 3.35, 0.20, 3.01, 
443, 3.35, 0.20, 3.02, 
444, 3.36, 0.20, 3.02, 
445, 3.36, 0.20, 3.03, 
446, 3.36, 0.20, 3.04, 
447, 3.36, 0.20, 3.04, 
448, 3.36, 0.20, 3.05, 
449, 3.36, 0.20, 3.06, 
450, 3.36, 0.20, 3.06, 
451, 3.36, 0.20, 3.07, 
452, 3.36, 0.20, 3.08, 
453, 3.36, 0.20, 3.08, 
454, 3.36, 0.20, 3.09, 
455, 3.36, 0.20, 3.10, 
456, 3.36, 0.20, 3.10, 
457, 3.36, 0.20, 3.11, 
458, 3.36, 0.20, 3.12, 
459, 3.36, 0.20, 3.12, 
460, 3.36, 0.20, 3.13, 
461, 3.36, 0.20, 3.14, 
462, 3.36, 0.20, 3.14, 
463, 3.36, 0.20, 3.15, 
464, 3.36, 0.20, 3.16, 
465, 3.36, 0.20, 3.16, 
466, 3.36, 0.20, 3.17, 
467, 3.36, 0.20, 3.18, 
468, 3.36, 0.20, 3.19, 
469, 3.37, 0.20, 3.19, 
