Time (s), Voltage (V), Current (A), SOC (%)
308, 3.30, 0.59, 7.38, 
309, 3.30, 0.59, 7.40, 
310, 3.30, 0.59, 7.42, 
311, 3.29, 0.59, 7.44, 
312, 3.30, 0.59, 7.46, 
313, 3.30, 0.59, 7.48, 
314, 3.30, 0.59, 7.50, 
315, 3.30, 0.59, 7.52, 
316, 3.30, 0.59, 7.54, 
317, 3.30, 0.59, 7.56, 
318, 3.31, 0.59, 7.58, 
319, 3.30, 0.59, 7.60, 
320, 3.30, 0.59, 7.62, 
321, 3.30, 0.59, 7.64, 
322, 3.30, 0.59, 7.67, 
323, 3.30, 0.59, 7.69, 
324, 3.30, 0.59, 7.71, 
325, 3.30, 0.59, 7.73, 
326, 3.30, 0.59, 7.75, 
327, 3.30, 0.59, 7.77, 
328, 3.30, 0.59, 7.79, 
329, 3.30, 0.59, 7.81, 
330, 3.30, 0.59, 7.83, 
331, 3.30, 0.59, 7.85, 
332, 3.30, 0.59, 7.87, 
333, 3.30, 0.59, 7.89, 
334, 3.30, 0.59, 7.91, 
335, 3.30, 0.59, 7.93, 
336, 3.30, 0.59, 7.95, 
337, 3.30, 0.59, 7.97, 
338, 3.30, 0.59, 7.99, 
339, 3.30, 0.59, 8.01, 
340, 3.31, 0.59, 8.03, 
341, 3.30, 0.59, 8.05, 
342, 3.31, 0.59, 8.07, 
343, 3.30, 0.59, 8.09, 
344, 3.30, 0.59, 8.11, 
345, 3.31, 0.59, 8.14, 
346, 3.31, 0.59, 8.16, 
347, 3.31, 0.59, 8.18, 
348, 3.31, 0.59, 8.20, 
349, 3.31, 0.59, 8.22, 
350, 3.30, 0.59, 8.24, 
351, 3.31, 0.59, 8.26, 
352, 3.30, 0.59, 8.28, 
353, 3.31, 0.59, 8.30, 
354, 3.31, 0.59, 8.32, 
355, 3.30, 0.58, 8.34, 
356, 3.31, 0.58, 8.36, 
357, 3.30, 0.58, 8.38, 
358, 3.31, 0.58, 8.40, 
359, 3.31, 0.59, 8.42, 
360, 3.31, 0.58, 8.44, 
361, 3.31, 0.58, 8.46, 
362, 3.31, 0.58, 8.48, 
363, 3.31, 0.58, 8.50, 
364, 3.31, 0.58, 8.52, 
365, 3.31, 0.58, 8.54, 
366, 3.31, 0.58, 8.56, 
367, 3.31, 0.58, 8.58, 
